consumption_id,state,region,usage_date,usage_mwh,latitude,longitude
34,Punjab,NR,2019-01-03,121.90,31.519974,75.980003
35,Haryana,NR,2019-01-03,133.50,28.450006,77.019991
36,Rajasthan,NR,2019-01-03,240.20,26.449999,74.639981
37,Delhi,NR,2019-01-03,85.50,28.669993,77.230004
38,UP,NR,2019-01-03,311.80,27.599981,78.050006
39,Uttarakhand,NR,2019-01-03,39.30,30.320409,78.050006
40,HP,NR,2019-01-03,30.10,31.100025,77.166597
41,J&K,NR,2019-01-03,54.10,33.450000,76.240000
42,Chandigarh,NR,2019-01-03,4.90,30.719997,76.780006
43,Chhattisgarh,WR,2019-01-03,78.80,22.090420,82.159987
44,Gujarat,WR,2019-01-03,316.70,22.258700,71.192400
45,MP,WR,2019-01-03,253.60,21.300391,76.130019
46,Maharashtra,WR,2019-01-03,419.60,19.250232,73.160175
47,Goa,WR,2019-01-03,13.70,15.491997,73.818001
48,DNH,WR,2019-01-03,18.20,20.266578,73.016618
49,"Andhra Pradesh",SR,2019-01-03,170.10,14.750429,78.570026
50,Telangana,SR,2019-01-03,204.50,18.112400,79.019300
51,Karnataka,SR,2019-01-03,212.20,12.570381,76.919997
52,Kerala,SR,2019-01-03,73.60,8.900373,76.569993
53,"Tamil Nadu",SR,2019-01-03,285.20,12.920386,79.150042
54,Pondy,SR,2019-01-03,6.50,11.934994,79.830000
55,Bihar,ER,2019-01-03,82.00,25.785414,87.479973
56,Jharkhand,ER,2019-01-03,25.60,23.800393,86.419986
57,Odisha,ER,2019-01-03,67.90,19.820430,85.900017
58,"West Bengal",ER,2019-01-03,110.20,22.580390,88.329947
59,Sikkim,ER,2019-01-03,1.90,27.333330,88.616648
60,"Arunachal Pradesh",NER,2019-01-03,2.20,27.100399,93.616601
61,Assam,NER,2019-01-03,23.40,26.749981,94.216667
62,Manipur,NER,2019-01-03,2.40,24.799971,93.950017
63,Meghalaya,NER,2019-01-03,6.50,25.570492,91.880014
64,Mizoram,NER,2019-01-03,1.80,23.710399,92.720015
65,Nagaland,NER,2019-01-03,2.20,25.666998,94.116570
66,Tripura,NER,2019-01-03,3.60,23.835404,91.279999
67,Punjab,NR,2019-01-04,118.80,31.519974,75.980003
68,Haryana,NR,2019-01-04,128.20,28.450006,77.019991
69,Rajasthan,NR,2019-01-04,239.80,26.449999,74.639981
70,Delhi,NR,2019-01-04,83.50,28.669993,77.230004
71,UP,NR,2019-01-04,320.70,27.599981,78.050006
72,Uttarakhand,NR,2019-01-04,38.10,30.320409,78.050006
73,HP,NR,2019-01-04,30.10,31.100025,77.166597
74,J&K,NR,2019-01-04,53.20,33.450000,76.240000
75,Chandigarh,NR,2019-01-04,4.80,30.719997,76.780006
76,Chhattisgarh,WR,2019-01-04,74.80,22.090420,82.159987
77,Gujarat,WR,2019-01-04,301.90,22.258700,71.192400
78,MP,WR,2019-01-04,239.30,21.300391,76.130019
79,Maharashtra,WR,2019-01-04,395.80,19.250232,73.160175
80,Goa,WR,2019-01-04,12.60,15.491997,73.818001
81,DNH,WR,2019-01-04,16.70,20.266578,73.016618
82,"Andhra Pradesh",SR,2019-01-04,165.20,14.750429,78.570026
83,Telangana,SR,2019-01-04,201.20,18.112400,79.019300
84,Karnataka,SR,2019-01-04,205.30,12.570381,76.919997
85,Kerala,SR,2019-01-04,73.40,8.900373,76.569993
86,"Tamil Nadu",SR,2019-01-04,270.30,12.920386,79.150042
87,Pondy,SR,2019-01-04,6.40,11.934994,79.830000
88,Bihar,ER,2019-01-04,82.90,25.785414,87.479973
89,Jharkhand,ER,2019-01-04,26.30,23.800393,86.419986
90,Odisha,ER,2019-01-04,66.30,19.820430,85.900017
91,"West Bengal",ER,2019-01-04,106.80,22.580390,88.329947
92,Sikkim,ER,2019-01-04,1.70,27.333330,88.616648
93,"Arunachal Pradesh",NER,2019-01-04,2.20,27.100399,93.616601
94,Assam,NER,2019-01-04,21.70,26.749981,94.216667
95,Manipur,NER,2019-01-04,2.40,24.799971,93.950017
96,Meghalaya,NER,2019-01-04,6.30,25.570492,91.880014
97,Mizoram,NER,2019-01-04,1.70,23.710399,92.720015
98,Nagaland,NER,2019-01-04,2.20,25.666998,94.116570
99,Tripura,NER,2019-01-04,3.50,23.835404,91.279999
100,Punjab,NR,2019-01-05,121.00,31.519974,75.980003
101,Haryana,NR,2019-01-05,127.50,28.450006,77.019991
102,Rajasthan,NR,2019-01-05,239.10,26.449999,74.639981
103,Delhi,NR,2019-01-05,79.20,28.669993,77.230004
104,UP,NR,2019-01-05,299.00,27.599981,78.050006
105,Uttarakhand,NR,2019-01-05,39.20,30.320409,78.050006
106,HP,NR,2019-01-05,30.20,31.100025,77.166597
107,J&K,NR,2019-01-05,51.50,33.450000,76.240000
108,Chandigarh,NR,2019-01-05,4.30,30.719997,76.780006
109,Chhattisgarh,WR,2019-01-05,69.00,22.090420,82.159987
110,Gujarat,WR,2019-01-05,313.20,22.258700,71.192400
111,MP,WR,2019-01-05,228.20,21.300391,76.130019
112,Maharashtra,WR,2019-01-05,411.10,19.250232,73.160175
113,Goa,WR,2019-01-05,13.00,15.491997,73.818001
114,DNH,WR,2019-01-05,17.60,20.266578,73.016618
115,"Andhra Pradesh",SR,2019-01-05,167.40,14.750429,78.570026
116,Telangana,SR,2019-01-05,201.70,18.112400,79.019300
117,Karnataka,SR,2019-01-05,212.40,12.570381,76.919997
118,Kerala,SR,2019-01-05,75.40,8.900373,76.569993
119,"Tamil Nadu",SR,2019-01-05,286.80,12.920386,79.150042
120,Pondy,SR,2019-01-05,6.60,11.934994,79.830000
121,Bihar,ER,2019-01-05,77.00,25.785414,87.479973
122,Jharkhand,ER,2019-01-05,23.00,23.800393,86.419986
123,Odisha,ER,2019-01-05,65.80,19.820430,85.900017
124,"West Bengal",ER,2019-01-05,107.00,22.580390,88.329947
125,Sikkim,ER,2019-01-05,2.00,27.333330,88.616648
126,"Arunachal Pradesh",NER,2019-01-05,2.20,27.100399,93.616601
127,Assam,NER,2019-01-05,22.50,26.749981,94.216667
128,Manipur,NER,2019-01-05,2.70,24.799971,93.950017
129,Meghalaya,NER,2019-01-05,5.70,25.570492,91.880014
130,Mizoram,NER,2019-01-05,1.80,23.710399,92.720015
131,Nagaland,NER,2019-01-05,2.30,25.666998,94.116570
132,Tripura,NER,2019-01-05,3.50,23.835404,91.279999
133,Punjab,NR,2019-01-06,121.40,31.519974,75.980003
134,Haryana,NR,2019-01-06,132.60,28.450006,77.019991
135,Rajasthan,NR,2019-01-06,240.40,26.449999,74.639981
136,Delhi,NR,2019-01-06,76.60,28.669993,77.230004
137,UP,NR,2019-01-06,286.80,27.599981,78.050006
138,Uttarakhand,NR,2019-01-06,39.20,30.320409,78.050006
139,HP,NR,2019-01-06,31.00,31.100025,77.166597
140,J&K,NR,2019-01-06,53.20,33.450000,76.240000
141,Chandigarh,NR,2019-01-06,4.30,30.719997,76.780006
142,Chhattisgarh,WR,2019-01-06,68.10,22.090420,82.159987
143,Gujarat,WR,2019-01-06,320.70,22.258700,71.192400
144,MP,WR,2019-01-06,227.40,21.300391,76.130019
145,Maharashtra,WR,2019-01-06,408.60,19.250232,73.160175
146,Goa,WR,2019-01-06,12.90,15.491997,73.818001
147,DNH,WR,2019-01-06,18.60,20.266578,73.016618
148,"Andhra Pradesh",SR,2019-01-06,171.20,14.750429,78.570026
149,Telangana,SR,2019-01-06,194.90,18.112400,79.019300
150,Karnataka,SR,2019-01-06,217.50,12.570381,76.919997
151,Kerala,SR,2019-01-06,75.40,8.900373,76.569993
152,"Tamil Nadu",SR,2019-01-06,298.30,12.920386,79.150042
153,Pondy,SR,2019-01-06,7.20,11.934994,79.830000
154,Bihar,ER,2019-01-06,76.40,25.785414,87.479973
155,Jharkhand,ER,2019-01-06,22.60,23.800393,86.419986
156,Odisha,ER,2019-01-06,62.90,19.820430,85.900017
157,"West Bengal",ER,2019-01-06,106.40,22.580390,88.329947
158,Sikkim,ER,2019-01-06,2.00,27.333330,88.616648
159,"Arunachal Pradesh",NER,2019-01-06,2.20,27.100399,93.616601
160,Assam,NER,2019-01-06,21.70,26.749981,94.216667
161,Manipur,NER,2019-01-06,2.70,24.799971,93.950017
162,Meghalaya,NER,2019-01-06,6.20,25.570492,91.880014
163,Mizoram,NER,2019-01-06,1.90,23.710399,92.720015
164,Nagaland,NER,2019-01-06,2.30,25.666998,94.116570
165,Tripura,NER,2019-01-06,3.30,23.835404,91.279999
166,Punjab,NR,2019-01-07,118.00,31.519974,75.980003
167,Haryana,NR,2019-01-07,132.10,28.450006,77.019991
168,Rajasthan,NR,2019-01-07,241.90,26.449999,74.639981
169,Delhi,NR,2019-01-07,71.10,28.669993,77.230004
170,UP,NR,2019-01-07,294.20,27.599981,78.050006
171,Uttarakhand,NR,2019-01-07,40.10,30.320409,78.050006
172,HP,NR,2019-01-07,30.10,31.100025,77.166597
173,J&K,NR,2019-01-07,53.30,33.450000,76.240000
174,Chandigarh,NR,2019-01-07,4.00,30.719997,76.780006
175,Chhattisgarh,WR,2019-01-07,73.10,22.090420,82.159987
176,Gujarat,WR,2019-01-07,319.40,22.258700,71.192400
177,MP,WR,2019-01-07,230.30,21.300391,76.130019
178,Maharashtra,WR,2019-01-07,408.10,19.250232,73.160175
179,Goa,WR,2019-01-07,12.70,15.491997,73.818001
180,DNH,WR,2019-01-07,18.30,20.266578,73.016618
181,"Andhra Pradesh",SR,2019-01-07,166.40,14.750429,78.570026
182,Telangana,SR,2019-01-07,191.90,18.112400,79.019300
183,Karnataka,SR,2019-01-07,217.40,12.570381,76.919997
184,Kerala,SR,2019-01-07,74.90,8.900373,76.569993
185,"Tamil Nadu",SR,2019-01-07,294.20,12.920386,79.150042
186,Pondy,SR,2019-01-07,7.00,11.934994,79.830000
187,Bihar,ER,2019-01-07,75.30,25.785414,87.479973
188,Jharkhand,ER,2019-01-07,23.90,23.800393,86.419986
189,Odisha,ER,2019-01-07,64.00,19.820430,85.900017
190,"West Bengal",ER,2019-01-07,109.30,22.580390,88.329947
191,Sikkim,ER,2019-01-07,1.50,27.333330,88.616648
192,"Arunachal Pradesh",NER,2019-01-07,2.20,27.100399,93.616601
193,Assam,NER,2019-01-07,21.40,26.749981,94.216667
194,Manipur,NER,2019-01-07,2.50,24.799971,93.950017
195,Meghalaya,NER,2019-01-07,6.10,25.570492,91.880014
196,Mizoram,NER,2019-01-07,1.80,23.710399,92.720015
197,Nagaland,NER,2019-01-07,2.30,25.666998,94.116570
198,Tripura,NER,2019-01-07,3.30,23.835404,91.279999
199,Punjab,NR,2019-01-08,107.50,31.519974,75.980003
200,Haryana,NR,2019-01-08,121.40,28.450006,77.019991
201,Rajasthan,NR,2019-01-08,237.20,26.449999,74.639981
202,Delhi,NR,2019-01-08,69.00,28.669993,77.230004
203,UP,NR,2019-01-08,289.40,27.599981,78.050006
204,Uttarakhand,NR,2019-01-08,37.00,30.320409,78.050006
205,HP,NR,2019-01-08,29.20,31.100025,77.166597
206,J&K,NR,2019-01-08,51.20,33.450000,76.240000
207,Chandigarh,NR,2019-01-08,3.80,30.719997,76.780006
208,Chhattisgarh,WR,2019-01-08,74.20,22.090420,82.159987
209,Gujarat,WR,2019-01-08,307.90,22.258700,71.192400
210,MP,WR,2019-01-08,228.80,21.300391,76.130019
211,Maharashtra,WR,2019-01-08,398.20,19.250232,73.160175
212,Goa,WR,2019-01-08,10.90,15.491997,73.818001
213,DNH,WR,2019-01-08,18.10,20.266578,73.016618
214,"Andhra Pradesh",SR,2019-01-08,160.80,14.750429,78.570026
215,Telangana,SR,2019-01-08,190.80,18.112400,79.019300
216,Karnataka,SR,2019-01-08,201.00,12.570381,76.919997
217,Kerala,SR,2019-01-08,68.20,8.900373,76.569993
218,"Tamil Nadu",SR,2019-01-08,279.20,12.920386,79.150042
219,Pondy,SR,2019-01-08,6.50,11.934994,79.830000
220,Bihar,ER,2019-01-08,76.20,25.785414,87.479973
221,Jharkhand,ER,2019-01-08,23.30,23.800393,86.419986
222,Odisha,ER,2019-01-08,63.60,19.820430,85.900017
223,"West Bengal",ER,2019-01-08,102.90,22.580390,88.329947
224,Sikkim,ER,2019-01-08,1.60,27.333330,88.616648
225,"Arunachal Pradesh",NER,2019-01-08,2.30,27.100399,93.616601
226,Assam,NER,2019-01-08,20.70,26.749981,94.216667
227,Manipur,NER,2019-01-08,2.60,24.799971,93.950017
228,Meghalaya,NER,2019-01-08,6.20,25.570492,91.880014
229,Mizoram,NER,2019-01-08,1.80,23.710399,92.720015
230,Nagaland,NER,2019-01-08,2.10,25.666998,94.116570
231,Tripura,NER,2019-01-08,3.30,23.835404,91.279999
232,Punjab,NR,2019-01-09,132.50,31.519974,75.980003
233,Haryana,NR,2019-01-09,148.20,28.450006,77.019991
234,Rajasthan,NR,2019-01-09,197.00,26.449999,74.639981
235,Delhi,NR,2019-01-09,89.20,28.669993,77.230004
236,UP,NR,2019-01-09,258.60,27.599981,78.050006
237,Uttarakhand,NR,2019-01-09,35.90,30.320409,78.050006
238,HP,NR,2019-01-09,25.30,31.100025,77.166597
239,J&K,NR,2019-01-09,37.90,33.450000,76.240000
240,Chandigarh,NR,2019-01-09,3.90,30.719997,76.780006
241,Chhattisgarh,WR,2019-01-09,77.20,22.090420,82.159987
242,Gujarat,WR,2019-01-09,260.00,22.258700,71.192400
243,MP,WR,2019-01-09,162.50,21.300391,76.130019
244,Maharashtra,WR,2019-01-09,400.90,19.250232,73.160175
245,Goa,WR,2019-01-09,12.10,15.491997,73.818001
246,DNH,WR,2019-01-09,18.00,20.266578,73.016618
247,"Andhra Pradesh",SR,2019-01-09,163.00,14.750429,78.570026
248,Telangana,SR,2019-01-09,167.50,18.112400,79.019300
249,Karnataka,SR,2019-01-09,173.60,12.570381,76.919997
250,Kerala,SR,2019-01-09,67.90,8.900373,76.569993
251,"Tamil Nadu",SR,2019-01-09,280.40,12.920386,79.150042
252,Pondy,SR,2019-01-09,7.60,11.934994,79.830000
253,Bihar,ER,2019-01-09,56.40,25.785414,87.479973
254,Jharkhand,ER,2019-01-09,19.20,23.800393,86.419986
255,Odisha,ER,2019-01-09,86.60,19.820430,85.900017
256,"West Bengal",ER,2019-01-09,131.70,22.580390,88.329947
257,Sikkim,ER,2019-01-09,1.10,27.333330,88.616648
258,"Arunachal Pradesh",NER,2019-01-09,2.10,27.100399,93.616601
259,Assam,NER,2019-01-09,25.80,26.749981,94.216667
260,Manipur,NER,2019-01-09,2.30,24.799971,93.950017
261,Meghalaya,NER,2019-01-09,6.00,25.570492,91.880014
262,Mizoram,NER,2019-01-09,1.70,23.710399,92.720015
263,Nagaland,NER,2019-01-09,2.40,25.666998,94.116570
264,Tripura,NER,2019-01-09,4.20,23.835404,91.279999
265,Punjab,NR,2019-01-10,131.50,31.519974,75.980003
266,Haryana,NR,2019-01-10,157.00,28.450006,77.019991
267,Rajasthan,NR,2019-01-10,199.90,26.449999,74.639981
268,Delhi,NR,2019-01-10,92.80,28.669993,77.230004
269,UP,NR,2019-01-10,284.20,27.599981,78.050006
270,Uttarakhand,NR,2019-01-10,35.30,30.320409,78.050006
271,HP,NR,2019-01-10,26.50,31.100025,77.166597
272,J&K,NR,2019-01-10,31.70,33.450000,76.240000
273,Chandigarh,NR,2019-01-10,3.90,30.719997,76.780006
274,Chhattisgarh,WR,2019-01-10,79.00,22.090420,82.159987
275,Gujarat,WR,2019-01-10,268.30,22.258700,71.192400
276,MP,WR,2019-01-10,159.60,21.300391,76.130019
277,Maharashtra,WR,2019-01-10,409.70,19.250232,73.160175
278,Goa,WR,2019-01-10,12.10,15.491997,73.818001
279,DNH,WR,2019-01-10,17.80,20.266578,73.016618
280,"Andhra Pradesh",SR,2019-01-10,168.80,14.750429,78.570026
281,Telangana,SR,2019-01-10,173.40,18.112400,79.019300
282,Karnataka,SR,2019-01-10,176.00,12.570381,76.919997
283,Kerala,SR,2019-01-10,68.90,8.900373,76.569993
284,"Tamil Nadu",SR,2019-01-10,290.80,12.920386,79.150042
285,Pondy,SR,2019-01-10,7.90,11.934994,79.830000
286,Bihar,ER,2019-01-10,69.90,25.785414,87.479973
287,Jharkhand,ER,2019-01-10,21.80,23.800393,86.419986
288,Odisha,ER,2019-01-10,78.80,19.820430,85.900017
289,"West Bengal",ER,2019-01-10,140.10,22.580390,88.329947
290,Sikkim,ER,2019-01-10,1.10,27.333330,88.616648
291,"Arunachal Pradesh",NER,2019-01-10,2.10,27.100399,93.616601
292,Assam,NER,2019-01-10,25.80,26.749981,94.216667
293,Manipur,NER,2019-01-10,2.40,24.799971,93.950017
294,Meghalaya,NER,2019-01-10,6.20,25.570492,91.880014
295,Mizoram,NER,2019-01-10,1.70,23.710399,92.720015
296,Nagaland,NER,2019-01-10,2.10,25.666998,94.116570
297,Tripura,NER,2019-01-10,4.30,23.835404,91.279999
298,Punjab,NR,2019-01-11,130.30,31.519974,75.980003
299,Haryana,NR,2019-01-11,145.30,28.450006,77.019991
300,Rajasthan,NR,2019-01-11,187.70,26.449999,74.639981
301,Delhi,NR,2019-01-11,79.50,28.669993,77.230004
302,UP,NR,2019-01-11,281.40,27.599981,78.050006
303,Uttarakhand,NR,2019-01-11,30.10,30.320409,78.050006
304,HP,NR,2019-01-11,23.90,31.100025,77.166597
305,J&K,NR,2019-01-11,37.30,33.450000,76.240000
306,Chandigarh,NR,2019-01-11,3.40,30.719997,76.780006
307,Chhattisgarh,WR,2019-01-11,80.70,22.090420,82.159987
308,Gujarat,WR,2019-01-11,275.00,22.258700,71.192400
309,MP,WR,2019-01-11,154.30,21.300391,76.130019
310,Maharashtra,WR,2019-01-11,405.20,19.250232,73.160175
311,Goa,WR,2019-01-11,12.10,15.491997,73.818001
312,DNH,WR,2019-01-11,16.90,20.266578,73.016618
313,"Andhra Pradesh",SR,2019-01-11,167.70,14.750429,78.570026
314,Telangana,SR,2019-01-11,166.70,18.112400,79.019300
315,Karnataka,SR,2019-01-11,157.00,12.570381,76.919997
316,Kerala,SR,2019-01-11,67.40,8.900373,76.569993
317,"Tamil Nadu",SR,2019-01-11,270.50,12.920386,79.150042
318,Pondy,SR,2019-01-11,7.10,11.934994,79.830000
319,Bihar,ER,2019-01-11,76.20,25.785414,87.479973
320,Jharkhand,ER,2019-01-11,23.30,23.800393,86.419986
321,Odisha,ER,2019-01-11,78.40,19.820430,85.900017
322,"West Bengal",ER,2019-01-11,149.80,22.580390,88.329947
323,Sikkim,ER,2019-01-11,0.80,27.333330,88.616648
324,"Arunachal Pradesh",NER,2019-01-11,2.10,27.100399,93.616601
325,Assam,NER,2019-01-11,27.90,26.749981,94.216667
326,Manipur,NER,2019-01-11,2.40,24.799971,93.950017
327,Meghalaya,NER,2019-01-11,6.20,25.570492,91.880014
328,Mizoram,NER,2019-01-11,1.80,23.710399,92.720015
329,Nagaland,NER,2019-01-11,2.10,25.666998,94.116570
330,Tripura,NER,2019-01-11,4.30,23.835404,91.279999
331,Punjab,NR,2019-01-12,137.90,31.519974,75.980003
332,Haryana,NR,2019-01-12,151.90,28.450006,77.019991
333,Rajasthan,NR,2019-01-12,189.90,26.449999,74.639981
334,Delhi,NR,2019-01-12,92.60,28.669993,77.230004
335,UP,NR,2019-01-12,298.60,27.599981,78.050006
336,Uttarakhand,NR,2019-01-12,34.70,30.320409,78.050006
337,HP,NR,2019-01-12,26.40,31.100025,77.166597
338,J&K,NR,2019-01-12,34.60,33.450000,76.240000
339,Chandigarh,NR,2019-01-12,4.00,30.719997,76.780006
340,Chhattisgarh,WR,2019-01-12,85.20,22.090420,82.159987
341,Gujarat,WR,2019-01-12,294.10,22.258700,71.192400
342,MP,WR,2019-01-12,161.10,21.300391,76.130019
343,Maharashtra,WR,2019-01-12,421.80,19.250232,73.160175
344,Goa,WR,2019-01-12,12.20,15.491997,73.818001
345,DNH,WR,2019-01-12,17.60,20.266578,73.016618
346,"Andhra Pradesh",SR,2019-01-12,168.10,14.750429,78.570026
347,Telangana,SR,2019-01-12,173.20,18.112400,79.019300
348,Karnataka,SR,2019-01-12,163.50,12.570381,76.919997
349,Kerala,SR,2019-01-12,69.90,8.900373,76.569993
350,"Tamil Nadu",SR,2019-01-12,298.40,12.920386,79.150042
351,Pondy,SR,2019-01-12,8.00,11.934994,79.830000
352,Bihar,ER,2019-01-12,82.30,25.785414,87.479973
353,Jharkhand,ER,2019-01-12,24.30,23.800393,86.419986
354,Odisha,ER,2019-01-12,82.40,19.820430,85.900017
355,"West Bengal",ER,2019-01-12,154.70,22.580390,88.329947
356,Sikkim,ER,2019-01-12,1.00,27.333330,88.616648
357,"Arunachal Pradesh",NER,2019-01-12,2.10,27.100399,93.616601
358,Assam,NER,2019-01-12,30.10,26.749981,94.216667
359,Manipur,NER,2019-01-12,2.50,24.799971,93.950017
360,Meghalaya,NER,2019-01-12,6.00,25.570492,91.880014
361,Mizoram,NER,2019-01-12,1.80,23.710399,92.720015
362,Nagaland,NER,2019-01-12,2.00,25.666998,94.116570
363,Tripura,NER,2019-01-12,4.60,23.835404,91.279999
364,Punjab,NR,2019-01-13,135.80,31.519974,75.980003
365,Haryana,NR,2019-01-13,141.40,28.450006,77.019991
366,Rajasthan,NR,2019-01-13,186.90,26.449999,74.639981
367,Delhi,NR,2019-01-13,89.40,28.669993,77.230004
368,UP,NR,2019-01-13,310.00,27.599981,78.050006
369,Uttarakhand,NR,2019-01-13,36.70,30.320409,78.050006
370,HP,NR,2019-01-13,26.40,31.100025,77.166597
371,J&K,NR,2019-01-13,32.70,33.450000,76.240000
372,Chandigarh,NR,2019-01-13,3.80,30.719997,76.780006
373,Chhattisgarh,WR,2019-01-13,87.60,22.090420,82.159987
374,Gujarat,WR,2019-01-13,301.20,22.258700,71.192400
375,MP,WR,2019-01-13,168.60,21.300391,76.130019
376,Maharashtra,WR,2019-01-13,408.30,19.250232,73.160175
377,Goa,WR,2019-01-13,12.40,15.491997,73.818001
378,DNH,WR,2019-01-13,17.60,20.266578,73.016618
379,"Andhra Pradesh",SR,2019-01-13,164.90,14.750429,78.570026
380,Telangana,SR,2019-01-13,176.90,18.112400,79.019300
381,Karnataka,SR,2019-01-13,162.40,12.570381,76.919997
382,Kerala,SR,2019-01-13,72.40,8.900373,76.569993
383,"Tamil Nadu",SR,2019-01-13,314.10,12.920386,79.150042
384,Pondy,SR,2019-01-13,8.40,11.934994,79.830000
385,Bihar,ER,2019-01-13,87.70,25.785414,87.479973
386,Jharkhand,ER,2019-01-13,24.80,23.800393,86.419986
387,Odisha,ER,2019-01-13,84.30,19.820430,85.900017
388,"West Bengal",ER,2019-01-13,155.30,22.580390,88.329947
389,Sikkim,ER,2019-01-13,1.00,27.333330,88.616648
390,"Arunachal Pradesh",NER,2019-01-13,2.10,27.100399,93.616601
391,Assam,NER,2019-01-13,30.10,26.749981,94.216667
392,Manipur,NER,2019-01-13,2.50,24.799971,93.950017
393,Meghalaya,NER,2019-01-13,5.90,25.570492,91.880014
394,Mizoram,NER,2019-01-13,1.80,23.710399,92.720015
395,Nagaland,NER,2019-01-13,2.20,25.666998,94.116570
396,Tripura,NER,2019-01-13,4.80,23.835404,91.279999
397,Punjab,NR,2019-01-14,139.30,31.519974,75.980003
398,Haryana,NR,2019-01-14,143.80,28.450006,77.019991
399,Rajasthan,NR,2019-01-14,195.20,26.449999,74.639981
400,Delhi,NR,2019-01-14,82.20,28.669993,77.230004
401,UP,NR,2019-01-14,319.50,27.599981,78.050006
402,Uttarakhand,NR,2019-01-14,35.50,30.320409,78.050006
403,HP,NR,2019-01-14,26.90,31.100025,77.166597
404,J&K,NR,2019-01-14,37.60,33.450000,76.240000
405,Chandigarh,NR,2019-01-14,3.50,30.719997,76.780006
406,Chhattisgarh,WR,2019-01-14,89.60,22.090420,82.159987
407,Gujarat,WR,2019-01-14,305.60,22.258700,71.192400
408,MP,WR,2019-01-14,170.70,21.300391,76.130019
409,Maharashtra,WR,2019-01-14,406.30,19.250232,73.160175
410,Goa,WR,2019-01-14,12.40,15.491997,73.818001
411,DNH,WR,2019-01-14,18.50,20.266578,73.016618
412,"Andhra Pradesh",SR,2019-01-14,163.30,14.750429,78.570026
413,Telangana,SR,2019-01-14,177.00,18.112400,79.019300
414,Karnataka,SR,2019-01-14,156.70,12.570381,76.919997
415,Kerala,SR,2019-01-14,69.60,8.900373,76.569993
416,"Tamil Nadu",SR,2019-01-14,305.90,12.920386,79.150042
417,Pondy,SR,2019-01-14,8.30,11.934994,79.830000
418,Bihar,ER,2019-01-14,88.20,25.785414,87.479973
419,Jharkhand,ER,2019-01-14,24.80,23.800393,86.419986
420,Odisha,ER,2019-01-14,85.70,19.820430,85.900017
421,"West Bengal",ER,2019-01-14,143.90,22.580390,88.329947
422,Sikkim,ER,2019-01-14,0.90,27.333330,88.616648
423,"Arunachal Pradesh",NER,2019-01-14,2.10,27.100399,93.616601
424,Assam,NER,2019-01-14,31.70,26.749981,94.216667
425,Manipur,NER,2019-01-14,2.50,24.799971,93.950017
426,Meghalaya,NER,2019-01-14,5.40,25.570492,91.880014
427,Mizoram,NER,2019-01-14,1.80,23.710399,92.720015
428,Nagaland,NER,2019-01-14,2.10,25.666998,94.116570
429,Tripura,NER,2019-01-14,5.00,23.835404,91.279999
430,Punjab,NR,2019-01-15,141.10,31.519974,75.980003
431,Haryana,NR,2019-01-15,142.90,28.450006,77.019991
432,Rajasthan,NR,2019-01-15,185.40,26.449999,74.639981
433,Delhi,NR,2019-01-15,77.80,28.669993,77.230004
434,UP,NR,2019-01-15,326.70,27.599981,78.050006
435,Uttarakhand,NR,2019-01-15,34.30,30.320409,78.050006
436,HP,NR,2019-01-15,25.60,31.100025,77.166597
